match_id,innings,for_wicket,team,opposition,player1,player2,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
361531,2,2.0,Netherlands,Scotland,6362.0,48655.0,24.0,17.0,28.0,20.0,46.0,48.0
361654,2,5.0,Canada,Pakistan,21252.0,57551.0,0.0,4.0,0.0,6.0,5.0,7.0
361659,2,6.0,Canada,Zimbabwe,46191.0,47129.0,16.0,1.0,8.0,5.0,17.0,13.0
361653,2,4.0,Sri Lanka,Zimbabwe,6315.0,7419.0,0.0,0.0,0.0,1.0,0.0,1.0
350347,2,5.0,Bangladesh,South Africa,47189.0,48277.0,1.0,0.0,1.0,0.0,1.0,2.0
300436,2,7.0,New Zealand,England,10303.0,47488.0,7.0,1.0,4.0,2.0,8.0,6.0
361657,2,4.0,Pakistan,Zimbabwe,11647.0,47099.0,0.0,5.0,0.0,3.0,7.0,7.0
361531,2,3.0,Netherlands,Scotland,48655.0,49443.0,1.0,9.0,5.0,7.0,10.0,12.0
361654,2,6.0,Canada,Pakistan,21252.0,47129.0,0.0,0.0,0.0,4.0,2.0,5.0
361659,2,7.0,Canada,Zimbabwe,8053.0,47129.0,3.0,0.0,5.0,1.0,3.0,6.0
361653,2,5.0,Sri Lanka,Zimbabwe,7419.0,48520.0,4.0,0.0,6.0,0.0,6.0,7.0
350347,2,6.0,Bangladesh,South Africa,47189.0,47986.0,11.0,12.0,10.0,9.0,24.0,19.0
300436,2,8.0,New Zealand,England,10303.0,10325.0,14.0,13.0,13.0,11.0,28.0,24.0
361531,2,4.0,Netherlands,Scotland,45358.0,48655.0,11.0,10.0,13.0,11.0,21.0,24.0
361654,2,7.0,Canada,Pakistan,8053.0,21252.0,7.0,1.0,8.0,4.0,8.0,12.0
361659,2,8.0,Canada,Zimbabwe,47129.0,47143.0,1.0,9.0,4.0,6.0,10.0,10.0
361653,2,6.0,Sri Lanka,Zimbabwe,11374.0,48520.0,0.0,0.0,0.0,0.0,30.0,19.0
350347,2,7.0,Bangladesh,South Africa,47189.0,48388.0,3.0,3.0,6.0,4.0,7.0,10.0
300436,2,9.0,New Zealand,England,10303.0,49108.0,9.0,12.0,5.0,10.0,21.0,15.0
361531,2,5.0,Netherlands,Scotland,6365.0,45358.0,0.0,2.0,2.0,2.0,2.0,4.0
361654,2,8.0,Canada,Pakistan,21252.0,47143.0,14.0,4.0,10.0,9.0,18.0,19.0
361659,2,9.0,Canada,Zimbabwe,47143.0,57210.0,0.0,0.0,0.0,2.0,1.0,3.0
350347,2,8.0,Bangladesh,South Africa,45159.0,48388.0,0.0,1.0,2.0,1.0,2.0,3.0
361531,2,6.0,Netherlands,Scotland,45001.0,45358.0,16.0,11.0,12.0,3.0,27.0,15.0
361654,2,9.0,Canada,Pakistan,47143.0,57210.0,0.0,0.0,0.0,0.0,1.0,1.0
361659,2,10.0,Canada,Zimbabwe,21275.0,47143.0,8.0,1.0,9.0,3.0,9.0,12.0
350347,2,9.0,Bangladesh,South Africa,47353.0,48388.0,4.0,2.0,4.0,3.0,6.0,7.0
361654,2,10.0,Canada,Pakistan,47143.0,48590.0,1.0,0.0,1.0,0.0,2.0,2.0
222678,1,1.0,South Africa,New Zealand,2232.0,10406.0,19.0,61.0,16.0,43.0,84.0,59.0
