match_id,innings,team,opposition,bowler_id,overs,balls,maidens,conceded,wickets,economy,dots,fours,sixes,wides,noballs
287866,1,Australia,Bangladesh,7445.0,3.0,18.0,0.0,14.0,2.0,4.66,8.0,1.0,0.0,0.0,0.0
287866,1,Australia,Bangladesh,6973.0,4.0,24.0,0.0,13.0,1.0,3.25,15.0,1.0,0.0,1.0,0.0
287866,1,Australia,Bangladesh,10130.0,4.0,24.0,0.0,28.0,1.0,7.0,11.0,3.0,0.0,1.0,2.0
287866,1,Australia,Bangladesh,4382.0,2.0,12.0,0.0,10.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
287866,1,Australia,Bangladesh,8876.0,3.0,18.0,0.0,28.0,1.0,9.33,7.0,1.0,1.0,2.0,0.0
287866,2,Bangladesh,Australia,24672.0,3.5,23.0,0.0,27.0,0.0,7.04,12.0,5.0,0.0,0.0,0.0
287866,2,Bangladesh,Australia,45573.0,2.0,12.0,0.0,25.0,0.0,12.5,4.0,2.0,2.0,1.0,0.0
287866,2,Bangladesh,Australia,45159.0,4.0,24.0,0.0,34.0,0.0,8.5,10.0,1.0,3.0,0.0,1.0
287866,2,Bangladesh,Australia,48277.0,2.0,12.0,0.0,15.0,0.0,7.5,3.0,0.0,1.0,0.0,0.0
287866,2,Bangladesh,Australia,35501.0,2.0,12.0,0.0,23.0,0.0,11.5,2.0,2.0,1.0,0.0,0.0
287864,1,South Africa,Bangladesh,2228.0,3.3,21.0,0.0,40.0,3.0,11.42,7.0,5.0,2.0,0.0,0.0
287864,1,South Africa,Bangladesh,4073.0,2.0,12.0,0.0,31.0,1.0,15.5,4.0,4.0,2.0,0.0,0.0
287864,1,South Africa,Bangladesh,47289.0,4.0,24.0,0.0,21.0,2.0,5.25,14.0,3.0,0.0,1.0,1.0
287864,1,South Africa,Bangladesh,4130.0,4.0,24.0,0.0,13.0,1.0,3.25,14.0,0.0,0.0,1.0,0.0
287864,1,South Africa,Bangladesh,46935.0,4.0,24.0,0.0,23.0,2.0,5.75,16.0,0.0,3.0,0.0,0.0
287864,1,South Africa,Bangladesh,9505.0,2.0,12.0,0.0,6.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0
287864,2,Bangladesh,South Africa,24672.0,3.5,23.0,0.0,33.0,0.0,8.6,9.0,4.0,1.0,0.0,0.0
287864,2,Bangladesh,South Africa,45573.0,4.0,24.0,0.0,28.0,0.0,7.0,11.0,5.0,0.0,0.0,0.0
287864,2,Bangladesh,South Africa,45159.0,4.0,24.0,0.0,26.0,2.0,6.5,11.0,0.0,2.0,0.0,0.0
287864,2,Bangladesh,South Africa,24667.0,2.0,12.0,0.0,17.0,0.0,8.5,3.0,2.0,0.0,1.0,0.0
287864,2,Bangladesh,South Africa,48277.0,4.0,24.0,0.0,28.0,1.0,7.0,8.0,2.0,1.0,0.0,0.0
287864,2,Bangladesh,South Africa,48384.0,1.0,6.0,0.0,13.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0
287861,1,Australia,England,5966.0,4.0,24.0,0.0,31.0,1.0,7.75,10.0,3.0,1.0,0.0,1.0
287861,1,Australia,England,7445.0,4.0,24.0,0.0,16.0,3.0,4.0,13.0,0.0,1.0,0.0,0.0
287861,1,Australia,England,6973.0,4.0,24.0,0.0,24.0,2.0,6.0,13.0,3.0,0.0,0.0,2.0
287861,1,Australia,England,10130.0,4.0,24.0,0.0,22.0,3.0,5.5,11.0,2.0,0.0,0.0,0.0
287861,1,Australia,England,4382.0,2.0,12.0,0.0,28.0,0.0,14.0,1.0,2.0,2.0,0.0,0.0
287861,1,Australia,England,8876.0,2.0,12.0,0.0,14.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0
287861,2,England,Australia,48440.0,3.0,18.0,0.0,23.0,0.0,7.66,7.0,4.0,0.0,0.0,0.0
287861,2,England,Australia,4271.0,4.0,24.0,0.0,25.0,1.0,6.25,10.0,2.0,0.0,0.0,0.0
287861,2,England,Australia,2314.0,1.0,6.0,0.0,16.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0
287861,2,England,Australia,6263.0,1.0,6.0,0.0,17.0,0.0,17.0,1.0,4.0,0.0,0.0,0.0
287861,2,England,Australia,6769.0,2.0,12.0,0.0,22.0,0.0,11.0,1.0,2.0,1.0,0.0,0.0
287861,2,England,Australia,7184.0,3.5,23.0,0.0,31.0,1.0,8.08,10.0,4.0,1.0,0.0,0.0
287860,1,Kenya,Sri Lanka,2268.0,3.0,18.0,0.0,14.0,1.0,4.66,11.0,2.0,0.0,1.0,0.0
287860,1,Kenya,Sri Lanka,9228.0,4.0,24.0,0.0,53.0,0.0,13.25,5.0,6.0,2.0,0.0,1.0
287860,1,Kenya,Sri Lanka,49383.0,4.0,24.0,0.0,57.0,1.0,14.25,4.0,7.0,2.0,2.0,0.0
287860,1,Kenya,Sri Lanka,2278.0,4.0,24.0,0.0,61.0,0.0,15.25,4.0,6.0,4.0,0.0,0.0
287860,1,Kenya,Sri Lanka,8207.0,4.0,24.0,0.0,48.0,3.0,12.0,7.0,6.0,2.0,1.0,0.0
287860,1,Kenya,Sri Lanka,2265.0,1.0,6.0,0.0,25.0,0.0,25.0,1.0,3.0,1.0,1.0,1.0
