t20i_match_no,match_id,match_name,series_id,series_name,match_date,match_format,team1_id,team1_name,team1_captain,team1_runs_scored,team1_wickets_fell,team1_extras_rec,team2_id,team2_name,team2_captain,team2_runs_scored,team2_wickets_fell,team2_extras_rec,match_venue_stadium,match_venue_city,match_venue_country,umpire_1,umpire_2,match_referee,toss_winner,toss_winner_choice,match_winner,match_result_text,mom_player,team1_playing_11,team2_playing_11,debut_players
239,546473,Canada Vs Scotland 68Th Match 5Th Place Play Off,532912,ICC World Twenty20 Qualifier in United Arab Emirates - 2012 (2011/12),2012-03-23,T20,17,Canada,57551,135.0,8.0,23.0,30,Scotland,52063,136.0,6.0,9.0,Dubai International Cricket Stadium,Dubai,United Arab Emirates,BB Pradhan,JS Wilson,D Govindjee,Canada,bat,Scotland,Scotland won by 4 wickets (with 0 balls remaining),48469.0,"['52870', '57551', '60142', '56868', '48506', '60377', '57210', '64426', '52871', '61863', '60145']","['48469', '49112', '62583', '46048', '52282', '8225', '52619', '46091', '47944', '52063', '45550']","['60145', '61863']"
240,546477,Afghanistan Vs Ireland Final,532912,ICC World Twenty20 Qualifier in United Arab Emirates - 2012 (2011/12),2012-03-24,T20,40,Afghanistan,53602,152.0,7.0,4.0,29,Ireland,47403,156.0,5.0,10.0,Dubai International Cricket Stadium,Dubai,United Arab Emirates,BB Pradhan,CB Gaffaney,DT Jukes,Afghanistan,bat,Ireland,Ireland won by 5 wickets (with 7 balls remaining),52631.0,"['53767', '53112', '60436', '59061', '53602', '53605', '46888', '57022', '61857', '65399', '59775']","['47403', '52631', '7233', '47401', '47397', '48527', '10342', '56811', '47056', '8228', '66284']",['61857']
241,540173,West Indies Vs Australia 1St T20I,540166,Australia tour of West Indies  - 2012 (2011/12),2012-03-27,T20,4,West Indies,44829,150.0,7.0,3.0,2,Australia,35384,153.0,2.0,4.0,Beausejour Stadium,Gros Islet,West Indies,GO Brathwaite,PJ Nero,AJ Pycroft,West Indies,bat,Australia,Australia won by 8 wickets (with 11 balls remaining),10125.0,"['55194', '45554', '53396', '51054', '49040', '45257', '44829', '17838', '49701', '53391', '49039']","['48739', '10125', '6256', '35384', '49024', '11984', '44853', '47693', '12912', '5966', '50781']",['49039']
242,556252,South Africa Vs India Only T20I,559340,India tour of South Africa India in South Africa - 2012 (2011/12),2012-03-30,T20,3,South Africa,10401,219.0,4.0,3.0,6,India,7593,71.0,0.0,4.0,New Wanderers Stadium,Johannesburg,South Africa,JD Cloete,S George,BC Broad,India,bowl,South Africa,South Africa won by 11 runs (D/L method),48155.0,"['48359', '2232', '48155', '48148', '7541', '9505', '10401', '50062', '50121', '48863', '48182']","['8742', '7773', '49752', '48405', '15716', '7593', '15473', '11399', '12894', '48319', '10556']","['50062', '48148']"
243,540174,West Indies Vs Australia 2Nd T20I,540166,Australia tour of West Indies  - 2012 (2011/12),2012-03-30,T20,4,West Indies,44829,160.0,10.0,11.0,2,Australia,35384,146.0,9.0,2.0,Kensington Oval,Bridgetown,West Indies,JS Wilson,PJ Nero,AJ Pycroft,West Indies,bat,West Indies,West Indies won by 14 runs,45554.0,"['45554', '55194', '49040', '45257', '44829', '47293', '10238', '17838', '49039', '49701', '45774']","['48739', '10125', '35384', '6256', '11984', '49024', '44853', '5966', '47693', '50781', '12912']",[]
244,562437,Sri Lanka Vs Pakistan 1St T20I,562387,Pakistan tour of Sri Lanka  - 2012 (2012),2012-06-01,T20,8,Sri Lanka,6315,132.0,7.0,8.0,7,Pakistan,19647,95.0,10.0,19.0,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,EAR de Silva,REJ Martinesz,BC Broad,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 37 runs,49193.0,"['6315', '7419', '9587', '52371', '47023', '52405', '10178', '49193', '46206', '50837', '45105']","['19647', '49899', '20042', '11643', '8270', '53546', '4169', '48128', '44908', '10776', '19930']","['10178', '52405', '50837', '20042']"
245,562438,Sri Lanka Vs Pakistan 2Nd T20I,562387,Pakistan tour of Sri Lanka  - 2012 (2012),2012-06-03,T20,7,Pakistan,19647,122.0,6.0,5.0,8,Sri Lanka,47023,99.0,10.0,11.0,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,REJ Martinesz,RSA Palliyaguruge,BC Broad,Pakistan,bat,Pakistan,Pakistan won by 23 runs,4169.0,"['19647', '49899', '11643', '53546', '8270', '4169', '10394', '48128', '20042', '19930', '10776']","['9587', '7419', '46206', '48520', '52371', '52405', '47023', '49193', '10178', '50837', '54460']",[]
246,534208,England Vs West Indies Only T20I,534188,West Indies tour of England  - 2012 (2012),2012-06-24,T20,4,West Indies,44829,172.0,4.0,13.0,1,England,48440,173.0,3.0,10.0,Trent Bridge,Nottingham,England,RK Illingworth,RA Kettleborough,JJ Crowe,West Indies,bat,England,England won by 7 wickets (with 2 balls remaining),49532.0,"['45554', '7568', '45256', '10238', '45257', '49040', '47111', '44829', '45258', '49039', '45774']","['49047', '49532', '44691', '47055', '53271', '52161', '34736', '7013', '48440', '46924', '48529']",[]
247,560921,New Zealand Vs West Indies 1St T20I,560918,New Zealand tour of United States of America and West Indies  - 2012 (2012),2012-06-30,T20,4,West Indies,44829,209.0,2.0,20.0,5,New Zealand,44930,153.0,8.0,14.0,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,JS Wilson,PJ Nero,AJ Pycroft,New Zealand,bowl,West Indies,West Indies won by 56 runs,7568.0,"['45554', '7568', '55194', '49040', '10238', '45257', '47111', '44829', '45772', '49039', '45774']","['44895', '48927', '44930', '51088', '49108', '59148', '9989', '46408', '10386', '57609', '49104']","['45772', '59148']"
248,560922,New Zealand Vs West Indies 2Nd T20I,560918,New Zealand tour of United States of America and West Indies  - 2012 (2012),2012-07-01,T20,4,West Indies,44829,177.0,5.0,5.0,5,New Zealand,51088,116.0,10.0,4.0,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,JS Wilson,PJ Nero,AJ Pycroft,West Indies,bat,West Indies,West Indies won by 61 runs,49039.0,"['45554', '7568', '55194', '45256', '44829', '45257', '10238', '47111', '45772', '49039', '45774']","['44895', '48927', '49108', '51088', '47488', '46408', '59148', '10386', '45365', '57609', '10303']",[]
249,567071,Ireland Vs Bangladesh 1St T20I,567069,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-18,T20,25,Bangladesh,47986,190.0,5.0,10.0,29,Ireland,47403,119.0,8.0,8.0,Civil Service Cricket Club,Belfast,Ireland,M Hawthorne,RP Smith,D Govindjee,Ireland,bowl,Bangladesh,Bangladesh won by 71 runs,47283.0,"['48391', '24667', '48277', '47986', '47352', '47190', '52363', '45159', '24672', '58219', '47283']","['47403', '52631', '7233', '10351', '47397', '47401', '10345', '51559', '8228', '66284', '47056']","['58219', '47283', '47190']"
250,567072,Ireland Vs Bangladesh 2Nd T20I,567069,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-20,T20,25,Bangladesh,47986,146.0,6.0,11.0,29,Ireland,47403,145.0,6.0,4.0,Civil Service Cricket Club,Belfast,Ireland,M Hawthorne,RP Smith,D Govindjee,Bangladesh,bat,Bangladesh,Bangladesh won by 1 run,52363.0,"['48391', '24667', '48277', '47986', '47352', '52363', '47190', '24672', '45159', '58219', '47283']","['47403', '52631', '7233', '47401', '47397', '48527', '8228', '10345', '66284', '51559', '56811']",[]
251,567073,Ireland Vs Bangladesh 3Rd T20I,567069,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-21,T20,29,Ireland,47403,140.0,8.0,11.0,25,Bangladesh,47986,141.0,8.0,8.0,Civil Service Cricket Club,Belfast,Ireland,M Hawthorne,RP Smith,D Govindjee,Ireland,bat,Bangladesh,Bangladesh won by 2 wickets (with 0 balls remaining),24672.0,"['47403', '52631', '10351', '47401', '47397', '48527', '10345', '8228', '8305', '66284', '56811']","['48391', '24667', '48277', '47986', '47352', '47190', '52363', '24672', '45159', '47283', '47194']",['8305']
252,567204,Bangladesh Vs Scotland Only T20I,567202,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-24,T20,30,Scotland,52063,162.0,7.0,5.0,25,Bangladesh,47986,128.0,10.0,5.0,Sportpark Westvliet,The Hague,Netherlands,IN Ramage,RP Smith,D Govindjee,Scotland,bat,Scotland,Scotland won by 34 runs,48469.0,"['48469', '49112', '52282', '46048', '62583', '59951', '47382', '52619', '46091', '52063', '60202']","['48391', '24667', '48277', '47986', '47352', '52363', '47190', '24672', '58219', '45159', '47283']",['59951']
253,567205,Netherlands Vs Bangladesh 1St T20I,567203,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-25,T20,15,Netherlands,45001,144.0,7.0,9.0,25,Bangladesh,47986,145.0,2.0,2.0,Sportpark Westvliet,The Hague,Netherlands,IN Ramage,RP Smith,D Govindjee,Netherlands,bat,Bangladesh,Bangladesh won by 8 wickets (with 12 balls remaining),63116.0,"['53266', '48111', '48736', '48655', '45001', '6362', '49443', '57764', '48503', '55246', '65446']","['48391', '47218', '48277', '47986', '47352', '52363', '47190', '24672', '47194', '45159', '47283']",[]
254,573672,Netherlands Vs Bangladesh 2Nd T20I,567203,Bangladesh tour of Ireland and Netherlands  - 2012 (2012),2012-07-26,T20,25,Bangladesh,47986,128.0,10.0,3.0,15,Netherlands,45001,131.0,9.0,3.0,Sportpark Westvliet,The Hague,Netherlands,IN Ramage,RP Smith,D Govindjee,Bangladesh,bat,Netherlands,Netherlands won by 1 wicket (with 0 balls remaining),63116.0,"['48391', '47218', '48277', '47986', '47352', '47190', '52363', '46507', '45159', '51377', '47283']","['48111', '53266', '48736', '45001', '6362', '48655', '49443', '57764', '48503', '55246', '65446']",[]
256,571148,Australia Vs Pakistan 1St T20I,571144,Australia tour of United Arab Emirates  - 2012 (2012),2012-09-05,T20,2,Australia,35384,89.0,10.0,9.0,7,Pakistan,19647,90.0,3.0,1.0,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Ahsan Raza,Shozab Raza,RS Mahanama,Pakistan,bowl,Pakistan,Pakistan won by 7 wickets (with 31 balls remaining),19647.0,"['10125', '48739', '6256', '35384', '11984', '12049', '49024', '54222', '64244', '12912', '44865']","['19647', '8177', '48293', '9257', '8270', '53546', '4178', '48128', '56573', '44908', '19930']","['54222', '48293', '56573']"
257,571149,Australia Vs Pakistan 2Nd T20I,571144,Australia tour of United Arab Emirates  - 2012 (2012),2012-09-07,T20,7,Pakistan,19647,151.0,4.0,3.0,2,Australia,35384,151.0,8.0,1.0,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Shozab Raza,Zameer Haider,RS Mahanama,Pakistan,bat,India,Match tied (Pakistan won the one-over eliminator),19930.0,"['19647', '8177', '48293', '9257', '53546', '4178', '8270', '48128', '44908', '56573', '19930']","['48739', '10125', '6256', '12049', '35384', '11984', '49024', '44853', '64244', '3328', '53330']",['53330']
258,534233,England Vs South Africa 1St T20I,534191,South Africa tour of England  - 2012 (2012),2012-09-08,T20,1,England,48440,118.0,7.0,5.0,3,South Africa,46533,119.0,3.0,2.0,Riverside Ground,Chester-le-Street,England,RK Illingworth,RJ Bailey,AJ Pycroft,South Africa,bowl,South Africa,South Africa won by 7 wickets (with 6 balls remaining),47154.0,"['49047', '49532', '44691', '47055', '52161', '53271', '34736', '48440', '7013', '48529', '46924']","['48359', '2232', '46933', '46533', '45222', '7541', '9505', '10401', '9492', '47154', '48182']",['46933']
259,571150,Australia Vs Pakistan 3Rd T20I,571144,Australia tour of United Arab Emirates  - 2012 (2012),2012-09-10,T20,2,Australia,35384,168.0,7.0,10.0,7,Pakistan,19647,74.0,10.0,8.0,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Ahsan Raza,Zameer Haider,RS Mahanama,Pakistan,bowl,Australia,Australia won by 94 runs,48739.0,"['48739', '10125', '54222', '6256', '35384', '12049', '44853', '49024', '64244', '3328', '53330']","['19647', '8177', '48293', '8270', '9257', '53546', '4178', '10394', '44908', '19930', '56573']",[]
260,534234,England Vs South Africa 2Nd T20I,534191,South Africa tour of England  - 2012 (2012),2012-09-10,T20,3,South Africa,46533,77.0,5.0,7.0,1,England,48440,29.0,2.0,3.0,Old Trafford,Manchester,England,RK Illingworth,RJ Bailey,AJ Pycroft,England,bowl,India,No result,63116.0,"['48359', '9952', '46533', '9505', '45222', '7541', '2232', '10401', '9492', '47154', '47289']","['49047', '49532', '44660', '47055', '53271', '52161', '34736', '7013', '48440', '48529', '46924']",[]
261,565820,India Vs New Zealand 2Nd T20I,565800,New Zealand tour of India  - 2012 (2012),2012-09-11,T20,5,New Zealand,44930,167.0,5.0,3.0,6,India,7593,166.0,4.0,6.0,MA Chidambaram Stadium,Chennai,India,S Ravi,VA Kulkarni,BC Broad,India,bowl,New Zealand,New Zealand won by 1 run,10384.0,"['44895', '48927', '10384', '51088', '44930', '9639', '9989', '4380', '49104', '62153', '10303']","['7773', '49752', '15716', '7716', '7593', '48405', '47624', '11399', '12894', '7678', '9022']",['9022']
262,534235,England Vs South Africa 3Rd T20I,534191,South Africa tour of England  - 2012 (2012),2012-09-12,T20,1,England,48440,118.0,5.0,15.0,3,South Africa,46533,90.0,5.0,8.0,Edgbaston,Birmingham,England,RK Illingworth,RJ Bailey,AJ Pycroft,South Africa,bowl,England,England won by 28 runs,53271.0,"['49047', '10787', '44660', '47055', '53271', '52161', '34739', '7013', '48440', '53296', '46924']","['48359', '9952', '46933', '46533', '9505', '7541', '2232', '10401', '9492', '50121', '47289']",['53296']
263,533272,Sri Lanka Vs Zimbabwe 1St Match Group C,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-18,T20,8,Sri Lanka,6315,182.0,4.0,20.0,9,Zimbabwe,45253,100.0,10.0,15.0,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,IJ Gould,RJ Tucker,JJ Crowe,Zimbabwe,bowl,Sri Lanka,Sri Lanka won by 82 runs,50377.0,"['52808', '7419', '6315', '9587', '24777', '49193', '47023', '52405', '46206', '50377', '45105']","['10423', '45240', '45253', '45252', '47205', '48205', '47234', '45326', '55140', '49266', '47210']","['49266', '52808']"
264,533273,Australia Vs Ireland 2Nd Match Group B,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-19,T20,29,Ireland,47403,123.0,7.0,4.0,2,Australia,35384,125.0,3.0,10.0,R Premadasa Stadium,Colombo,Sri Lanka,Aleem Dar,HDPK Dharmasena,RS Madugalle,Ireland,bat,Australia,Australia won by 7 wickets (with 29 balls remaining),10125.0,"['47403', '52631', '7233', '10351', '47401', '47397', '51559', '8228', '59933', '56811', '47056']","['48739', '10125', '6256', '12049', '35384', '54222', '49024', '44853', '3328', '64244', '53330']",[]
265,533274,Afghanistan Vs India 3Rd Match Group A,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-19,T20,6,India,7593,159.0,5.0,16.0,40,Afghanistan,53602,136.0,10.0,6.0,R Premadasa Stadium,Colombo,Sri Lanka,Asad Rauf,SJA Taufel,RS Madugalle,Afghanistan,bowl,India,India won by 23 runs,49752.0,"['7773', '7781', '49752', '7716', '15716', '7593', '48405', '11399', '12894', '7678', '9022']","['60436', '53602', '53767', '53809', '46888', '53605', '57628', '57022', '65861', '65399', '53755']",['65861']
266,533275,South Africa Vs Zimbabwe 4Th Match Group C,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-20,T20,9,Zimbabwe,45253,93.0,8.0,8.0,3,South Africa,46533,94.0,0.0,12.0,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,RA Kettleborough,SJ Davis,JJ Crowe,South Africa,bowl,South Africa,South Africa won by 10 wickets (with 44 balls remaining),2232.0,"['10423', '45240', '45253', '47205', '10639', '45252', '47234', '45326', '7432', '55140', '49266']","['48359', '9952', '2232', '46533', '45222', '48148', '9505', '9492', '10401', '47154', '47289']",[]
267,533276,Bangladesh Vs New Zealand 5Th Match Group D,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-21,T20,5,New Zealand,44930,191.0,3.0,8.0,25,Bangladesh,47986,132.0,8.0,7.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,M Erasmus,NJ Llong,GF Labrooy,Bangladesh,bowl,New Zealand,New Zealand won by 59 runs,10384.0,"['48927', '9639', '10384', '44930', '44895', '51088', '9989', '4380', '10386', '49108', '10303']","['48391', '24667', '48277', '47986', '47352', '52363', '47190', '24672', '47283', '45159', '51377']",[]
268,533277,Afghanistan Vs England 6Th Match Group A,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-21,T20,1,England,48440,196.0,5.0,12.0,40,Afghanistan,53602,80.0,10.0,6.0,R Premadasa Stadium,Colombo,Sri Lanka,HDPK Dharmasena,SJA Taufel,RS Madugalle,Afghanistan,bowl,England,England won by 116 runs,44660.0,"['49047', '49532', '44660', '47055', '53271', '52161', '34736', '48440', '7013', '48529', '46924']","['60436', '53602', '57628', '53767', '53809', '46888', '53605', '57022', '65399', '53755', '59775']",[]
269,533278,Sri Lanka Vs South Africa 7Th Match Group C,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-22,T20,3,South Africa,46533,78.0,4.0,3.0,8,Sri Lanka,6315,46.0,5.0,3.0,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka,RA Kettleborough,RJ Tucker,JJ Crowe,Sri Lanka,bowl,South Africa,South Africa won by 32 runs,46533.0,"['48359', '9952', '46933', '46533', '45222', '9505', '48148', '2232', '10401', '47154', '47289']","['6315', '7419', '52808', '9587', '49193', '24777', '52405', '47023', '46206', '8460', '45105']",[]
270,533279,Australia Vs West Indies 8Th Match Group B,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-22,T20,4,West Indies,44829,191.0,8.0,13.0,2,Australia,35384,100.0,1.0,3.0,R Premadasa Stadium,Colombo,Sri Lanka,Aleem Dar,Asad Rauf,RS Madugalle,West Indies,bat,Australia,Australia won by 17 runs (D/L method),10125.0,"['45554', '7568', '55194', '10238', '45257', '49040', '44829', '47111', '45258', '49039', '45774']","['48739', '10125', '6256', '35384', '12049', '54222', '49024', '44853', '3328', '64244', '53330']",[]
271,533280,New Zealand Vs Pakistan 9Th Match Group D,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-23,T20,7,Pakistan,19647,177.0,6.0,6.0,5,New Zealand,44930,164.0,9.0,10.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,BNJ Oxenford,M Erasmus,GF Labrooy,Pakistan,bat,Pakistan,Pakistan won by 13 runs,48293.0,"['19647', '8177', '48293', '9257', '53546', '8270', '4169', '10394', '48128', '44908', '19930']","['44895', '51088', '10384', '4380', '9989', '44930', '9639', '10386', '49108', '10303', '62153']",[]
272,533281,England Vs India 10Th Match Group A,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-23,T20,6,India,7593,170.0,4.0,12.0,1,England,48440,80.0,10.0,1.0,R Premadasa Stadium,Colombo,Sri Lanka,Aleem Dar,SJA Taufel,RS Madugalle,England,bowl,India,India won by 90 runs,7139.0,"['7773', '11399', '49752', '48405', '7593', '15716', '7716', '7139', '47185', '48965', '9022']","['49047', '49532', '44660', '47055', '52161', '53271', '34739', '48440', '7013', '48529', '46924']",[]
273,533282,Ireland Vs West Indies 11Th Match Group B,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-24,T20,29,Ireland,47403,129.0,6.0,5.0,4,West Indies,44829,129.0,6.0,7.0,R Premadasa Stadium,Colombo,Sri Lanka,Asad Rauf,HDPK Dharmasena,RS Madugalle,West Indies,bowl,India,No result,63116.0,"['47403', '52631', '7233', '10351', '47401', '47397', '8228', '59933', '51559', '66284', '56811']","['7568', '55194', '51054', '10238', '49040', '51012', '44829', '47111', '49039', '45258', '45774']",[]
274,533283,Bangladesh Vs Pakistan 12Th Match Group D,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-25,T20,25,Bangladesh,47986,175.0,6.0,11.0,7,Pakistan,19647,178.0,2.0,10.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,IJ Gould,SJ Davis,JJ Crowe,Bangladesh,bat,Pakistan,Pakistan won by 8 wickets (with 8 balls remaining),8177.0,"['48391', '24667', '48277', '47986', '47352', '52363', '47190', '58219', '24672', '45159', '51377']","['19647', '8177', '48293', '9257', '8270', '53546', '4169', '10394', '48128', '44908', '19930']",[]
275,533284,Sri Lanka Vs New Zealand 13Th Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-27,T20,5,New Zealand,44930,174.0,7.0,9.0,8,Sri Lanka,6315,174.0,6.0,3.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Aleem Dar,SJA Taufel,J Srinath,New Zealand,bat,India,Match tied (Sri Lanka won the one-over eliminator),7419.0,"['44895', '48927', '10384', '44930', '9989', '10386', '9639', '51088', '4380', '49108', '10303']","['6315', '7419', '9587', '24777', '47023', '49193', '52405', '46206', '45105', '50377', '68065']",['68065']
276,533285,England Vs West Indies 14Th Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-27,T20,4,West Indies,44829,179.0,5.0,9.0,1,England,48440,164.0,4.0,6.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Asad Rauf,SJ Davis,J Srinath,West Indies,bat,West Indies,West Indies won by 15 runs,55194.0,"['55194', '7568', '10238', '49040', '45257', '44829', '51012', '47111', '49039', '45258', '45772']","['49047', '49532', '44660', '52161', '47055', '53271', '34736', '48440', '7013', '48529', '46924']",[]
277,533286,Pakistan Vs South Africa 15Th Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-28,T20,3,South Africa,46533,133.0,6.0,4.0,7,Pakistan,19647,136.0,8.0,12.0,R Premadasa Stadium,Colombo,Sri Lanka,IJ Gould,RJ Tucker,RS Madugalle,South Africa,bat,Pakistan,Pakistan won by 2 wickets (with 2 balls remaining),44908.0,"['48359', '9952', '2232', '45222', '48148', '46533', '9505', '9492', '10401', '47154', '47289']","['19647', '8177', '48293', '9257', '8270', '53546', '4169', '10394', '44908', '19930', '56573']",[]
278,533287,Australia Vs India 16Th Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-28,T20,6,India,7593,140.0,7.0,10.0,2,Australia,35384,141.0,1.0,2.0,R Premadasa Stadium,Colombo,Sri Lanka,HDPK Dharmasena,RA Kettleborough,RS Madugalle,India,bat,Australia,Australia won by 9 wickets (with 31 balls remaining),10125.0,"['7773', '11399', '49752', '7716', '48405', '15716', '7593', '12894', '7139', '47185', '7678']","['10125', '48739', '54222', '6256', '12049', '35384', '49024', '44853', '3328', '64244', '53330']",[]
279,533288,England Vs New Zealand 17Th Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-29,T20,5,New Zealand,44930,148.0,6.0,15.0,1,England,48440,149.0,4.0,7.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Asad Rauf,SJA Taufel,J Srinath,New Zealand,bat,England,England won by 6 wickets (with 7 balls remaining),44660.0,"['48927', '44895', '10384', '51088', '44930', '9639', '10386', '57609', '4380', '49108', '10303']","['49047', '49532', '44660', '47055', '53271', '52161', '34739', '48440', '7013', '53296', '48529']",[]
280,533289,Sri Lanka Vs West Indies 18Th Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-29,T20,4,West Indies,44829,129.0,5.0,4.0,8,Sri Lanka,6315,130.0,1.0,13.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Aleem Dar,SJ Davis,J Srinath,West Indies,bat,Sri Lanka,Sri Lanka won by 9 wickets (with 28 balls remaining),6315.0,"['55194', '7568', '10238', '45257', '49040', '51012', '44829', '47111', '49039', '45258', '45774']","['6315', '7419', '9587', '47023', '24777', '52405', '49193', '46206', '45105', '8460', '50377']",[]
281,533290,Australia Vs South Africa 19Th Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-30,T20,3,South Africa,46533,146.0,5.0,9.0,2,Australia,35384,147.0,2.0,6.0,R Premadasa Stadium,Colombo,Sri Lanka,IJ Gould,HDPK Dharmasena,JJ Crowe,Australia,bowl,Australia,Australia won by 8 wickets (with 14 balls remaining),10125.0,"['48359', '9952', '2232', '45222', '46533', '48148', '9492', '50121', '10401', '47154', '47289']","['48739', '10125', '6256', '12049', '35384', '54222', '49024', '3328', '64244', '53330', '12912']",[]
282,533291,India Vs Pakistan 20Th Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-09-30,T20,7,Pakistan,19647,128.0,10.0,12.0,6,India,7593,129.0,2.0,3.0,R Premadasa Stadium,Colombo,Sri Lanka,RA Kettleborough,RJ Tucker,JJ Crowe,Pakistan,bat,India,India won by 8 wickets (with 18 balls remaining),49752.0,"['19647', '8177', '4169', '48293', '9257', '8270', '53546', '10394', '44908', '19930', '56573']","['7773', '7781', '49752', '7716', '15716', '48405', '7593', '11399', '12894', '7678', '9022']",[]
283,533292,New Zealand Vs West Indies 21St Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-01,T20,4,West Indies,44829,139.0,10.0,10.0,5,New Zealand,44930,139.0,7.0,5.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Aleem Dar,Asad Rauf,J Srinath,New Zealand,bowl,India,Match tied (West Indies won the one-over eliminator),49039.0,"['55194', '7568', '51012', '10238', '51054', '49040', '47111', '44829', '49039', '45772', '45258']","['44895', '48927', '10384', '44930', '9639', '9989', '10386', '57609', '49104', '49108', '10303']",[]
284,533293,Sri Lanka Vs England 22Nd Match Group 1,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-01,T20,8,Sri Lanka,9587,169.0,6.0,12.0,1,England,48440,150.0,9.0,9.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka,SJA Taufel,SJ Davis,J Srinath,England,bowl,Sri Lanka,Sri Lanka won by 19 runs,45105.0,"['6315', '7419', '9587', '47023', '24777', '52405', '49193', '46206', '68065', '45105', '50377']","['44660', '49532', '52161', '34736', '47055', '44691', '53271', '48440', '7013', '48529', '46924']",[]
285,533294,Australia Vs Pakistan 23Rd Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-02,T20,7,Pakistan,19647,149.0,6.0,5.0,2,Australia,35384,117.0,7.0,2.0,R Premadasa Stadium,Colombo,Sri Lanka,IJ Gould,RA Kettleborough,JJ Crowe,Australia,bowl,Pakistan,Pakistan won by 32 runs,56573.0,"['19647', '8177', '48293', '9257', '53546', '4178', '4169', '8270', '44908', '19930', '56573']","['10125', '48739', '6256', '35384', '12049', '54222', '49024', '64244', '53330', '3328', '12912']",[]
286,533295,India Vs South Africa 24Th Match Group 2,531597,ICC World Twenty20 in Sri Lanka - 2012 (2012/13),2012-10-02,T20,6,India,7593,152.0,6.0,11.0,3,South Africa,46533,151.0,10.0,4.0,R Premadasa Stadium,Colombo,Sri Lanka,HDPK Dharmasena,RJ Tucker,JJ Crowe,South Africa,bowl,India,India won by 1 run,7716.0,"['7773', '7781', '49752', '48405', '7716', '15716', '7593', '11399', '12894', '9022', '7678']","['9952', '2232', '46533', '46933', '45222', '48148', '9492', '9505', '10401', '47154', '47289']",[]
